                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2584,                 2.2495,                 2.2936,                0.42722,                0.27913,                0.20439,                0.08031,                 2.5098,                 2.9065,                 2.4253,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.2468,                 2.2967,                 2.3961,                0.16053,                 0.3704,                 0.1883,                0.07244,                 2.6829,                 3.7092,                 2.5782,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.2112,                 2.1891,                 2.2264,                0.26974,                0.31702,                0.26895,                0.11692,                 2.5497,                 2.5976,                 2.4257,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.1603,                 2.2048,                 2.3166,                0.49399,                0.37685,                0.28756,                0.13667,                 2.4069,                 2.4857,                 2.3478,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.0781,                 2.1752,                 2.2807,                0.58249,                0.23703,                0.30082,                0.14679,                 2.3429,                 2.1959,                 2.2459,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.1089,                 2.1921,                 2.1671,                0.75326,                0.27451,                0.30759,                0.14272,                 2.3014,                 2.3951,                  2.167,              0.0006238,              0.0006238,              0.0006238
                     40,                   2.08,                 2.1839,                 2.2104,                0.66047,                0.33866,                 0.3154,                0.15655,                 2.3306,                 2.5394,                 2.2264,              0.0006139,              0.0006139,              0.0006139
                     41,                 2.0566,                 2.0762,                 2.2155,                0.45093,                0.40251,                0.29006,                0.13965,                 2.3855,                 2.5043,                 2.2129,               0.000604,               0.000604,               0.000604
                     42,                 1.9948,                 2.0498,                 2.1467,                0.71823,                 0.1303,                0.18961,                0.07916,                 2.5508,                 3.4604,                 2.4071,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.9786,                 1.9803,                 2.1178,                0.19007,                0.38253,                0.24321,                0.10557,                 2.4643,                 2.9083,                  2.307,              0.0005842,              0.0005842,              0.0005842
                     44,                 2.0762,                 2.0226,                 2.1804,                0.45841,                 0.3782,                0.33008,                0.15874,                 2.2866,                 2.2352,                 2.0595,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.9367,                 1.9293,                 2.0881,                   0.63,                0.35489,                0.32507,                0.15071,                 2.3337,                 2.2475,                 2.1367,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.9838,                 1.9975,                 2.1455,                0.67678,                0.32177,                0.35566,                0.17097,                 2.2298,                 2.2017,                 2.0535,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.9938,                 2.0235,                 2.0842,                0.51188,                0.31548,                0.38903,                0.19743,                 2.2263,                 1.9516,                 1.9352,              0.0005446,              0.0005446,              0.0005446
                     48,                  1.923,                 1.9511,                 2.0766,                0.70604,                0.35818,                0.40935,                0.20541,                 2.2117,                 1.9666,                 1.8875,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.8988,                 1.9726,                 2.0596,                0.69551,                0.34248,                0.39329,                0.19366,                 2.2225,                 1.9154,                 1.9542,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.8751,                 1.8057,                 1.9873,                0.67099,                0.33558,                0.38343,                0.18672,                 2.2511,                 1.9311,                 2.0024,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.8676,                 1.8895,                 2.0395,                0.25347,                0.32489,                0.24461,                 0.1149,                 2.4653,                 2.6791,                 2.1775,               0.000505,               0.000505,               0.000505
                     52,                 1.9336,                  1.934,                 2.0089,                0.31799,                  0.306,                0.24933,                0.10652,                 2.4406,                 2.5521,                 2.1734,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.8732,                 1.8519,                 2.0468,                0.46204,                0.42836,                0.36421,                0.18541,                 2.1056,                 2.0125,                 1.9391,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.9128,                 1.9415,                 1.9952,                0.44284,                0.37644,                0.33558,                0.15552,                 2.2912,                  2.176,                 2.0883,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.8539,                 1.8631,                 1.9875,                0.50052,                0.34158,                0.28979,                 0.1202,                 2.4099,                 2.6828,                   2.18,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.8573,                 1.8313,                 1.9572,                0.32305,                0.38827,                0.34353,                 0.1642,                 2.2367,                 2.6324,                 1.9556,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.8111,                 1.8915,                 1.9555,                0.56319,                0.32633,                0.34713,                0.16432,                 2.3028,                 2.6924,                  2.075,              0.0004456,              0.0004456,              0.0004456
                     58,                 1.7861,                 1.7345,                 1.9441,                0.51309,                  0.357,                0.34966,                0.17904,                 2.2436,                 2.3338,                 2.0716,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.8338,                 1.8015,                 1.9535,                0.57304,                0.37119,                0.34906,                0.18499,                 2.2881,                 2.2847,                  2.127,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.8296,                 1.8076,                 1.8529,                0.57263,                 0.3278,                0.32684,                0.16231,                 2.4166,                 2.5961,                 2.1896,              0.0004159,              0.0004159,              0.0004159
